date	start time	end time	pfisr quality	classification
2012-03-28	10:25:28	12:46:49	good	apa
2012-12-20	11:12:07	16:18:47	good	apa, arc-like apa, pa
2013-03-24	10:52:26	12:38:36	good	apa
2014-11-02	12:40:31	13:31:41	good	cloudy
2014-12-07	09:33:29	10:09:32	issue	cloudy
2014-12-07	12:14:23	13:45:56	issue	cloudy
2015-01-13	11:26:42	11:59:50	good	apa
2015-01-14	10:32:55	10:54:12	good	cloudy
2015-01-20	09:59:45	10:59:51	issue	apa, arc-like apa
2015-01-26	07:49:39	08:18:41	good	arc-like apa
2015-02-26	09:46:46	10:45:44	good	apa
2015-02-26	12:29:40	14:03:29	good	apa
2015-03-12	10:01:48	10:44:22	good	ppa
2016-10-10	11:11:54	11:59:55	good	arc-like apa
2016-10-13	12:49:20	13:59:51	good	ppa
2016-10-16	11:47:46	12:59:54	good	apa, arc-like apa
2016-10-19	10:33:39	12:15:24	good	apa, pa
2016-11-02	12:10:36	12:59:52	good	apa
2016-11-13	09:24:40	10:59:49	good	apa
2016-11-25	10:00:02	10:59:52	good	apa
2016-12-11	09:51:00	09:59:56	good	apa
2016-12-20	08:59:47	10:59:56	good	apa
2016-12-26	08:53:48	09:32:16	issue	apa
2016-12-26	10:32:15	10:59:51	good	apa
2017-01-06	08:32:02	08:59:51	good	apa
2017-02-23	08:52:55	09:03:58	bad	cloudy
2017-03-30	12:10:59	13:04:47	good	apa
2017-04-14	12:00:04	12:58:46	good	ppa, arc-like apa
2017-04-18	12:00:01	12:31:27	good	apa
2017-08-17	08:08:43	08:43:34	good	cloudy
2017-09-03	09:36:22	10:45:19	good	apa, arc-like apa
2017-09-03	11:10:50	13:00:10	good	apa
2017-09-14	11:30:31	14:00:05	good	apa, arc-like apa
2017-09-18	08:34:19	08:59:50	good	apa
2017-12-21	10:46:14	13:05:04	issue	apa, ppa, pa
2018-04-04	13:00:03	13:35:42	bad	apa
2018-10-23	11:05:32	11:35:47	good	cloudy
2018-12-30	11:10:22	11:53:21	good	apa
2019-01-05	12:03:10	12:59:57	issue	apa, arc-like apa
2019-01-06	12:00:07	12:59:53	good	ppa
2019-01-07	12:00:00	12:59:54	good	apa
2019-01-26	13:47:03	13:59:48	good	apa
2019-01-31	13:00:10	13:59:54	good	apa
2019-02-01	13:00:09	13:59:49	good	apa, arc-like apa
2019-02-28	09:59:08	11:09:04	issue	apa
2019-02-28	11:18:25	12:18:27	issue	apa
2019-02-28	13:50:41	16:01:17	good	apa
2019-03-01	10:04:47	12:04:41	good	apa
2019-03-01	12:56:08	14:09:42	issue	apa, pa
2019-03-01	14:34:40	15:50:00	issue	apa, pa
2019-03-02	06:44:08	07:20:41	good	arc-like apa
2019-03-02	12:06:37	15:54:00	issue	apa, arc-like apa, ppa, pa
2019-03-28	13:45:12	14:06:12	good	cloudy
2019-03-31	13:00:02	13:39:53	good	apa
2019-04-01	13:08:18	13:56:58	bad	apa, arc-like apa
2019-04-03	13:00:11	13:48:53	good	apa
2019-09-01	07:36:54	08:09:04	good	apa
2019-09-01	09:14:12	10:21:35	good	apa
2019-09-01	11:39:50	13:15:49	good	apa
2019-09-02	10:12:14	11:06:53	good	apa
2019-09-03	12:28:43	13:19:55	good	apa, pa
2019-09-24	14:00:10	14:24:37	bad	arc-like apa
2019-12-18	11:42:17	11:59:59	good	apa
2019-12-19	08:23:32	09:46:10	good	arc-like apa
2019-12-19	10:47:53	11:59:52	good	apa
2020-01-04	11:36:36	12:47:11	good	apa, pa
2020-01-05	12:23:32	15:02:37	good	apa, pa
2020-01-31	11:51:52	13:22:28	good	apa
2020-03-31	11:36:47	12:51:36	good	ppa
2020-03-31	13:00:22	13:54:27	good	apa
2020-10-01	12:34:59	14:43:50	good	ppa, arc-like apa
2021-01-13	11:08:54	14:26:32	good	apa, arc-like apa
